transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-01_tr_042,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Archaeology,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_043,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Buddhist Affairs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_044,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Christian Religious Affairs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_045,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Cultural Affairs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_046,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Hindu Religious and Cultural Affairs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_047,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Muslim Religious and Cultural Affairs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_048,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of National Archives,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_049,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of National Museums,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_050,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Department of Public Trustee,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_051,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Galle Heritage Foundation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_052,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Gramodaya Folk Arts Centre,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_053,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,National Arts Council,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_054,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,National Performing Arts Theatre (Nelum Pokuna),department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_055,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Tower Hall Theatre Foundation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_056,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,“Ape Gama”,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_057,Minister of Defence,cabinetMinister,Api Wenuwen Api Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_058,Minister of Defence,cabinetMinister,Civil Security Department,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_059,Minister of Defence,cabinetMinister,Coast Guard Department of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_060,Minister of Defence,cabinetMinister,Defence Research and Development Centre,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_061,Minister of Defence,cabinetMinister,Defence Services Command and Staff College,department,AS_DEPARTMENT,2024-09-25
